id	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	
749											0.3	0.15	0.05	0.02	0.02	0.006	0.005	0.004		0.003	
750											0.6	0.5	0.25	0.35	0.25			0.093	0.18		
751											0.3	0.5	0.25	0.25	0.15	0.12	0.035	0.05	0.12	0.021	
752											0.5	0.35	0.35	0.3	0.15	0.1	0.1		0.1		
753											0.035	0.1	0.15	0.1	0	0.05	0.1	0.1	0.2	0.2	
754											0.2	0.2	0.3	0.05		0.03					
755											0.1	0.3	0.3	0.1	0.05	0.05	0.05	0.02			
756											0.1	0.1	0.1	0.05	0.05	0.1	0.1	0.15	0.05	0.05	
757											0.5	0.2	0.3	0.18	0.06	0.15	0.05	0.15		0.06	
758												0.4	0.2	0.2	0.18	0.2	0.2	0.1	0.1	0.1	
759											0.45	0.5	0.45	0.1	0.1	0	0.14	0.1	0.22	0.21	
760											0.6	0.8	0.3	0.25	0.25	0.2	0.03	0.03	0.12	0.12	
761													0.1	0.03	0.01	0.104	0.248	0.41226	0.02		
762											0.115	0.115	0.25	0.03	0.015	0.01	0.01	0.01	0.01		
763											0.65	0.3	0.2	0.25	0.25	0.15	0.07	0.1	0.1		
764											0.1	0.1	0.15	0.2	0.1	0.12	0.19	0.15	0.1	0.1	
765												0.3	0.2	0.12	0.14	0.23		0.09	0.14	0.1	
766												0.15									
767												0.3	0.1	0.1	0.1	0.1	0.1	0.1	0.15	0.1	
768												0.15		0.2	0.1		0.1	0.05	0.05	0.1	
769												0									
770											0.12	0.1	0.1		0.1	0.05	0.02	0.02	0.02	0.02	
771												0.2	0.15	0.15	0.1	0.03	0.03	0.1	0.1	0.1	
772												0.3	0.2	0.2	0.03	0.06	0.03	0.1	0.1	0.100711	
773													0.3	0.15	0.25		0.05	0.091	0.117	0.039	
774											0.25	0.3	0.3	0.257348	0.3	0.25			0.15	0.5	
775												0.6	0.15	0.18	0.2	0.22	0.15	0.218	0.211	0.23	
776												0.5	0.2	0.15	0.11				0.06011		
777												0.15	0.08		0.02	0.1	0.1	0.1	0.1	0.05	
778												0.1	0.1	0.1	0.1		0.03	0.022	0.028	0.052	
779												0.3	0.8	0.8	0.8	0.6	0.6	0.6	0.6	0.6	
780												0.1		0		0.1	0.1	0.05	0.04	0.055	
781												0.1	0.1	0.3	0.05		0.05	0.03			
782												0.25	0.13	0.1	0.129837	0.109999	0.06	0.04	0.04	0.042	
783											0.2	0.3	0.2	0.2	0.1	0.1	0.15	0.2	0.2	0.2	
784												0			0.3			0.045			
785												0.25	0.4	0.2	0.05	0		0.015	0.02	0.02	
786												0.1		0	0.01						
787												0.25	0.2	0.15	0.15	0.14	0.03	0.1	0.15	0.2	
788												0.2	0.2	0.3	0.2	0.3	0.2	0.1	0.1	0.2	
789												0.2	0.05	0.1	0.0625	0.2	0.4	0.2	0.2	0.04	
790												0.4	0.2					0.1	0.05		
791												0	0.1		0.02		0.01		0.05	0.055	
792											0.2	0.25	0.3	0.179815	0.1	0.1	0.08	0.06	0.08		
793											0.05	0.1	0.05	0.06	0.05	0		0.03		0.1	
794												0.1	0.1	0.03	0.01	0.01					
795												0	0.1	0.1	0.01	0.01			0.02		
796												0.2	0.2	0.08	0.024855	0.02	0.02	0.02	0.02	0.03	
797												0.3	0.06	0.06	0.06	0.06	0.03	0.03	0.03		
798												0.3	0.3	0.3	0.3	0.3	0.302213	0.3	0.3	0.3	
799											0.2	0.25	0.05	0.05	0.05	0.05		0.02	0.015	0.028	
800												0.9	0.9	0.8	0.6	0.31	0.4	0.3	0.3	0.3	
801												0.3	0.2	0.2	0.2	0.2	0.3	0.3	0.5	0.3	
802												0.3		0.2	0.05	0.05	0.05	0.08		0.2	
803												0.1	0.3	0.25	0.3	0.1	0.1	0.1	0.15	0.11	
804												0.5	0.2	0.3	0.5	0.199805	0.1	0.1	0.06	0.15	
805												0.15	0.1	0.1	0.1	0.1	0.1	0.1	0.200019	0.07	
806												2	0.6	0.6	0.3	0.3	0.6	0.25	0.045	0.1	
807												0.16	0.2	0.23	0.15	0.11	0.07	0.038		0.01	
808													0.1	0.05	0	0.05	0.05	0.02	0.05	0.05	
809												0.3	0.15	0.2	0.3	0.1	0.1		0.025	0.04	
810												0.2			0.2	0.25		0.2	0.15	0.15	
811												0.3	0.3	0.22	0.22	0.2	0.1	0.15	0.18	0.2	
812												0.15	0.17	0.07	0.046	0.051	0.055	0.037	0.042	0.014	
813												0.3	0.2	0.2	0.3	0.2	0.1	0.15	0.12	0.05	
814												0.2	0.1	0.1	0.1	0.06	0.15	0.15	0.2	0.2	
815												0.5	0.3	0.15	0.16	0.043321	0.2	0.05	0.12	0.090028	
816												0.2	0.2	0.15	0.145	0.108	0.165	0.02	0.011	0.09	
817											0.6	0.6	0.5	0.5	0.400032	0.4	0.201613	0.3	0.25	0.2	
818												0.08	0.05	0.05	0.02	0.05	0.07	0.08	0.1		
819												1			0.5			0.5		0	
820													0.1	0.1	0.1		0.55	0.03	0.03		
821													0.48	0.1	0.02	0.02	0.015	0.015	0.015	0.03	
822											0.5	0.6	0.4	0.3	0.25	0.4	0.7	0.6	0.5	0.6	
823													0.25		0.15			0.15	0.2	0.2	
824												0.25	0.1								
825												0.15	0.1	0.05			0.1	0.03	0.03		
826												0.6	0.33	0.33	0.36	0.332711	0.55	0.36	0.45	0.4	
827												0.1	0.03	0.02			0.01				
828												0	0.2	0.05	0.1	0.1	0.05	0.03	0.03		
829												0.5	0.25	0.25	0.25	0.25	0.139	0.139209	0.209008	0.2096	
830												0.6	0.2	0.4	0.2	0.2	0.08	0.08	0.08	0.08	
831												0.15	0.05	0.06	0.03	0.017962		0.05	0.1	0.06	
832												0.075	0.1	0.1	0.1	0.1	0.05	0.03	0.03		
833												0.1	0.025	0.01	0.01	0.05	0.12	0.02	0.01		
834												0.15	0.1	0.1	0.06	0.03	0.03				
835												0.3	0.2	0.2	0	0.026	0.077	0.025			
836												0.2	0.2	0.15	0.05	0.02	0.03		0.075	0.18	
837												0.1	0.05	0.05	0.13	0.07	0	0.02	0.03		
838												0.2	0.1	0		0.02					
839												0.5		0.065	0.075	0.026	0.025	0.032016		0.0707	
840												0.2	0.1	0.1	0.15	0.2	0.15	0.1	0.150224	0.15	
841												0.1	0.1	0.1	0.1	0.1	0.15	0.1	0.5	0.1	
842												0.4	0.3	0.33	0.15	0.2	0.05	0.03	0.03	0.06	
843												0.5		0.6	0.1	0.1	0.25	0.05	0.015	0.012	
844												0.1	0.1	0.05	0.05	0.05	0.05	0.05	0.025	0.025	
845													0.1	0.1	0.1	0.05	0.025	0.1	0.05	0.04	
846												0.5	0.4	0.4	0.35	0.55	0.4	0.35	0.45	0.5	
847												0.5	0.25	0.3	0.25	0.3	0.11	0.08	0.12	0.21	
848												0.2	0.2		0.04					0.1	
849												0.1	0.15		0.1	0.1	0.1	0.04	0.1	0.2	
850												1		0.25	0.1	0.2	0.1	0.1			
851												0.2	0.1	0.05	0.03	0.02	0.009877	0.035116	0.04		
852												0.2		0.05	0.01	0.01	0.04	0.05	0.015	0.03	
853												0.3	0.05	0.06	0.06	0.05	0.03	0.03			
854												0.2	0.3	0.3	0.2	0.2	0.1	0.1	0.1	0.1	
855												0.25	0.25	0.1	0.1	0.15	0.18	0.2	0.32	0.3	
856												0.045	0.04	0.075	0.090997	0.116757	0.089872	0.057	0.06995		
857													0	0.06	0		0.04	0.175			
858												0.1	0.15	0.13	0.1	0.1	0.06	0.05	0.03		
859												0.2	0.2	0.15	0.05	0.02	0.013				
860												0.5	0.3		0.3	0.3	0.080123	0.1	0.1	0.06	
861												0.3	0.1	0.1	0.2	0.25	0.1	0.1	0.1	0.1	
862												0.16		0.21	0.185	0.1	0.07	0.11	0.046		
863												0.3	0.1	0.03	0.05	0.02	0.015	0.015	0.1	0.1	
864												0.3	1							0.2	
865												0.4									
866												0.4	0.2	0.2	0.15	0.1	0.15	0.1	0.4	0.3	
867												0.05		0.01	0.015	0.03	0.05	0.06	0.1	0.1	
868												0.2	0.15	0.12	0.15	0.12	0.25	0.15	0.15	0.15	
869												0.2	0.1	0.2	0.1			0.05	0.05	0.1	
870												0.45	0.22	0.22	0.11			0	0	0	
871												0.6	0.6	0.3	0.1	0.2	0.15	0.1	0.08	0.12	
872												0.1	0.1	0.1			0.3	0.18	0.2	0.18001	
873												0.4	0.4	0.3	0.400066	0.18	0.04			0.1	
874												0.3	0.25	0	0.01	0.01	0.01	0.1	0.2	0.5	
875												0.3	0.1	0.1	0.1	0.15	0.15	0.1	0.05	0.1	
876												0.1	0.15	0.15	0.15	0.15	0.1	0.1	0.08		
877												0.3	0.15	0.2	0.1	0.065	0.005	0.01	0.01	0.006	
878												0.3	0.3	0.06	0.1	0.12	0.12	0.08	0.06	0.06	
879												0.2	0.1	0.1	0.18						
880												0.6	0.3	0.15	0.05	0.015		0.01	0.01	0.01	
881												0.3	0.2	0.1	0.07	0.08	0.09	0.08	0.06	0.05	
882												0.1	0.05	0.05	0.03	0.03	0.03	0.03	0.01		
883												0.45	0.45	0.2	0.03		0.12	0.065	0.02		
884												0.1	0.125	0.18	0.2	0.2	0.2	1	0.1	0.12	
885												0.3	0.2		0			0.02	0.02		
886												0.3	0.05	0.02	0.045	0.03	0.01	0.04	0.010161		
887												0.2	0.1	0.1	0.15	0.15	0.1	0.05	0.05	0.03	
888												0	0.12	0.12	0.12	0.05		0.1	0.05	0.05	
889												0.375	0	0.05	0.15	0.1	0.1	0.1	0.08	0.08	
890												0.5	0.5	0.2	0.04				0	0.023	
891												0.15	0.12	0.07	0.08	0.01					
892													0.1	0.04	0.01	0.01	0.02	0.01	0.01	0.01	
893												0.3	0.3	0.15	0.1	0.2	0.08				
894												1	0.992433	0.35	0.5	0.5	0.03	0.06	0.01	0.06	
895												0.15	0.1	0.05							
896												0.1	0.2	0.3	0.2	0.1	0.02	0.05	0.05	0.05	
897												0.2	0.1	0.15	0.03	0.05	0.04	0.06	0.05	0.04	
898												0.8	0.5	0.1	0.1	0.05	0.025	0.12	0.12	0.1	
899												0.1	0.1	0.2	0.1	0	0.025	0.01		0.010172	
900												0.2	0.25	0.1	0.09	0.1	0.01		0.01		
901												0.6		0.3	0.135	0.125	0.1	0.05	0.03		
902												0.3	0.3	0.2	0.25	0.1	0.06	0.05	0.020011	0.02	
903												0.2		0.15	0.13	0.1	0.035	0.036	0.036	0.036	
904												0.3	0.2	0.22	0.13	0.18		0.05			
905												0.2	0.1	0.1	0.1	0.04		0.04	0.05		
906												1	0.5	0.5	0.15	0.1	0.02	0.025	0.2		
907												0.2	0.1	0.02		0.1	0.152226				
908												0.05	0.1		0		0				
909												0.4	0.1								
910												0.3	0.35	0.35	0.2	0.1	0.2	0.1	0.15	0.26	
911												0.3	0.2	0.3	0.5	0.5	0.6	0.5	0.75	0.8	
912													0.2	0.05	0.05	0.06	0.05	0.03	0.015		
913												0.12	0.15	0.15	0.18	0.1	0.1	0.04	0.03	0.03	
914													0.2	0.15	0	0.01	0.049817	0.1	0.1	0.023	
915												0.28	0.1			0.1			0.045		
916													0.2	0.1	0.02			0.04			
917												0.58	0		0.2		0				
918												0.2	0.15	0.1	0.05	0.08	0.05	0			
919												0.1	0.2	0.12	0.2	0.1	0.05	0.02	0.1	0.25	
920												0.3	0.2					0.1	0.12		
921												0.3	0.3	0.15	0.1	0.15	0.25	0.2	0.2	0.2	
922												0.5	0.4	0.5		0.4	0.25	0.15			
923												1	1	0.8		0.1	0.05		0.1	0.100066	
924												0.1	0.3	0.3	0.2	0.3	0.2	0.3	0.2	0.05	
925												0.2	0.3	0.8	0.3	0.1	0.04	0.1	0.06	0.03	
926												0.2	0.1	0.05	0.05	0.05	0.05	0.02	0.05	0.03	
927												0.05	0.02	0.025							
928												0.3	0.025	0.04	0.04				0		
929												0.12	0.164406	0.199676	0.15001	0.17	0.104608	0.1	0.069999		
930												0.3	0.2	0.2	0.2	0.1	0				
931												0.3125	0.1875	0.03125	0.03125	0					
932												0.2	0.12	0.06	0.05	0.03	0.03		0.05		
933												0.2	0.2	0.3	0.15	0.1	0.05	0.12	0.033	0.060131	
934												0.1	0.1	0.1	0.1	0.05	0.05	0.05	0.2	0.2	
935												0.2	0.1	0.12	0.12	0.1	0.1	0.15	0.1	0.15	
936												0.3	0.3	0.3	0.15	0.15	0.1	0.15	0.2	0.2	
937												0.125	0.1	0.1	0.1	0.02	0				
938												0.2	0.2	0.2	0.2		0.2	0.1	0.3	0.5	
939												0.3	0	0.098374	0.1	0.05		0.05	0.050168	0.050591	
940												0.2	0.2	0.1	0.1	0.1	0.1	0.1	0.15	0.1	
941												0.3	0.25	0.25	0.2	0.2	0.08	0.08	0.08	0.1	
942												0.2	0.25	0.2	0.2	0	0.05	0.06	0.06	0.320297	
943													0.37	0.04	0.07	0.07	0.07	0.05	0.065	0.085	
944												0.1	0.1	0.07	0.1	0.05	0.03	0.02	0.02	0.02	
945												0.25	0.3	0.3	0.15	0.18	0.25	0.73	0.5	0.43	
946												0.25	0.125	0.2	0.065	0.02	0.03	0.03	0.11	0.03	
947													0.2	0.2	0.1	0.05	0.06	0.02	0.05	0.12	
948												0.5	0.25	0.4	0.4	0.3	0.3	0.011	0.12	0.12	
949													0			0.05	0.02	0.05			
950												0.3	0.3	0.3	0.2	0.1	0.15	0.15	0.1		
951												0.12	0.12	0.12	0	0		0.1	0.05	0.1	
952												0.25	0.35	0.5	0.5	0.3	0.15	0.08	0.08	0.12	
953												0.2	0.2	0.2	0.1	0.099928		0.100223	0.05	0.05	
954												0.2	0.2	0.1	0.05	0.02	0.01				
955													0.1	0.1	0.45	0.2	0.1	0.2	0.2	0.2	
956												0.2	0.15	0.05	0.05	0.05	0.2	0.025	0.01		
957												0.2	0.03	0.3	0.2	0.1	0.1	0.1	0.1	0.2	
958												0.2	0.2	0.1	0.1	0.1	0.1	0.07	0.07	0.07	
959													0.7	0.7	0.5	0.7	0.5	0.4	0.35	0.5	
960													0.4	0.1	0.1			0.2	0.2	0.17	
961												0.2	0.35	0.2	0.25	0.25	0.15	0.175	0.175	0.3	
962												0	0.15	0.2	0.2	0.15	0	0.05	0.02		
963													0.36	0.36	0.36	0.36	0.36	0.36	0.36	0.36	
964													0.1			0.1	0	0.1	0.2	0.1	
965													1	1	1	1	0.25	0.375	0.25	0.35	
966												0.1	0.02	0.06	0.04		0.01				
967													0.13	0.1	0.13					0	
968													0.2		0.1	0.05			0.05		
969													0.35	0.18	0.09	0.13	0.13	0.15	0.15	0.1	
970																					
971													0.1	0.1							
972														0.58	0.65						
973													0	0.06							
974													0.5	0.35	0.25	0.35	0.5	0.7	0.45	0.5	
975													0.15	0.2	0.15	0.2	0.1	0.1	0.1	0.1	
976													0.25	0.1	0.1	0.1	0.05	0.05	0.05	0.05	
977													0.1	0.05	0.05	0.1					
978													0.26	0.03	0.03		0.03	0.01	0.01	0.05	
979													0.7	0.34	0.11						
980													0.25			0.2		0	0.02		
981													0.05	0.02	0.02	0.03	0.03	0.1	0.1	0.1	
982													0.15	0.099694		0.1	0.05	0.05			
983												0.4	0.5	0.5	0.5	0	0.05				
984													0.3	0.1	0.1	0.1		0.07	0.07	0.079	
985													0.06	0.05	0.08	0.02	0.033	0.035	0.025	0.035	
986													0.15	0.3	0.025	0.04	0.1	0.05			
987													1	0.1	0.025	0.03	0.02	0.02	0.01	0.2	
988													0.1	0.1	0.15	0.1	0.05	0.05	0.045532	0.15	
989													0.3	0.2	0.200047	0.15	0.029831	0.1	0.1	0.100251	
990													0.2	0.2	0.5	0.5	0.2	0.1	0.05	0.02	
991													0.1	0.12	0.135	0.066	0.043	0.091	0.068	0.052	
992													0.1	0.05	0.06	0.08	0.04	0.025	0.03		
993												0.15	0.1	0.03	0.080312	0.005			0.300263		
994													0.3	0.3	0.3	0.15	0.2	0.25	0.25		
995													0.15	0.125	0.06	0.06	0.1	0.049868	0.05	0.050301	
996															0.05			0.178	0.141	0.204	
997													0.6	0.6	0.6	0.5	0.25	0.375	0.375	0.375	
998													0.2	0.1	0.029888	0.020022	0.030009	0.03	0.02	0.008	
999													0.3	0.2	0.25	0.3	0.17	0.4	0.6	0.36	
1000													0.4	0.2	0.2	0.1	0.2	0.2		0.2	
1001													0.16	0.03	0.03	0.03	0.03	0.03	0.05	0	
1002													0.1	0.1	0.1	0.1		0.1			
1003													0.7	0.2	0.050292	0.1	0.35	0.200847	0.55	0.1	
1004													0.3	0.1		0.1				0.1	
1005													0.1	0.1	0.099982	0.1	0.1	0.1	0.1	0.1	
1006													0.05	0.1	0.05	0.03					
1007													0.66	0.68	0.1		0.1		0.1	0.100011	
1008													0.2	0.125	0.1	0.075	0.075	0.1	0.015		
1009													0.3	0.15	0.05	0		0.05	0.02	0.23	
1010													0.3	0.11	0.04	0.05	0.1	0.12	0.12	0.15	
1011													0.5			0	0.1				
1012													0.1	0.2	0.1	0.03		0.02	0.045		
1013													0.6	0.55	0.6		0.2	0.05	0.15	0.15	
1014													0.3		0.05	0	0.02	0			
1015													0.4	0.1	0.1	0.1	0.1	0.1	0.1	0.1	
1016													0.4	0.15	0.32	0.5	0.05	0.21	0.2	0.08	
1017													0.1	0.35	0.06	0.35		0			
1018													0.1	0.1	0.05		0.04	0.03	0.02		
1019													0.035	0.035	0.029	0.05	0.037	0.007	0.005	0.005	
1020													0.25	0.08	0.6		0	0	0.01		
1021													0.12	0.1	0.1	0.1	0.15	0.25	0.15	0.06	
1022													0.15	0.05	0.04	0.06	0.06	0		0.020002	
1023													0.3		0.026	1	0				
1024													0.3	0.05	0.04	0.03	0.04	0.013			
1025													0.25		0.05	0.04	0.02655	0.0888	0.17	0.18	
1026													0.1	0.06	0.06	0	0.02		0.011		
1027													0.6	0.3	0.5	0.3	0.05	0.2	0.4	0.8	
1028													0.3	0.2	0.2	0.2	0.15	0.15	0.15	0.15	
1029													0.12	0.152	0.09	0.05	0.015	0.05			
1030													0.32	0.2	0.03	0.02					
1031													0.1	0.1	0.1	0.1	0.035	0.03	0.03		
1032													0.3	0.1	0.1	0.05	0.025	0.03	0.02	0.06	
1033													0.2	0.15	0.05	0.05	0.05	0.03	0.05	0.35	
1034													0.2								
1035													0.3	0.2	0.2	0.2	0.2	0.05	0.05		
1036													0.3	0.4	0.22	0.23	0.3	0.3	0.1	0.1	
1037															0.06	0		0.065			
1038													0.4	0.1	0.1	0.1	0.1	0.15	0.2	0.1	
1039													0.1		0.02		0				
1040													0.13	0.12	0.072	0.02	0.0085	0.0148		0.00686	
1041													0.1	0.04	0.045	0.03	0.053	0.056	0.053	0.045	
1042													0.11	0.18	0.13	0.1	0.05	0.05	0.026	0.033	
1043													0.3	0.2	0.035	0.100101	0.05	0.02			
1044													0.5	0.3	0.18	0.18	0.3	0.35	0.153	0.176	
1045													0.036	0.031	0.032	0.016	0.009	0.012	0.013	0.013	
1046													0.2	0.08	0.08	0.015		0.025	0.08	0.12	
1047													0.2	0.25	0.3	0.25	0.18	0.17	0.07	0.12	
1048													0.1	0.05	0.09			0	0	0.02	
1049													1	0.3	0.35			0.116	0.088	0.09	
1050													0.32	0.2	0.232	0.310055	0.220863	0.17	0.083087	0.086	
1051													0.6	0.6	0.6	0.1	0.04	0.04			
1052													0.32	1.22	0.68	0.4	0.06	0.05	0.06	0.06	
1053													0.1	0.15	0.1	0.05	0.05	0.1	0.05		
1054													0.6	0.75	0.25	0.2	0.25	0.46	0.28	0.19	
1055													0.12	0.1	0.08	0.05	0.05	0.04	0.05		
1056													0.1	0.075	0.012	0.014	0.011	0.011			
1057														0.37	0.18	0.11	0.11		0.015	0.004	
1058														0.15	0.07	0.06	0.04	0.05		0.005	
1059														0.16	0.1	0.15	0.088	0.066	0.072	0.1	
1060													0.115	0.08		0.004					
1061													0.2	0.1	0.03		0.016				
1062													0.5	0.5	0.5	0.5	0.5	0.2	0.2	0.25	
1063														0.25	0.26	0.3	0.3	0.35	0.064	0.02	
1064														0.15	0.11	0.061783	0.011995	0.007	0.009	0.003	
1065													0.051	0.2	0.22	0.2	0.051	0.06	0.065	0.07	
1066														0.297	0.107	0.16	0.04638	0.01573	0.011095		
1067													0.035	0.29	0.15	0.12	0.061	0.047	0.047	0.266	
1068													0.1	0.13	0.079	0.07	0.01		0.024	0.01	
1069														0.1	0.23	0.28	0.162	0.25	0.062		
1070														0.31	0.12	0.07	0.108	0.072	0.037	0.077	
1071														0.3	0.193779	0.07	0.01	0.012	0.012		
1072														0.4	0.3	0.15	0.08	0.121	0.161	0.14	
1073														0.2	0.25	0.15		0.15	0.5	0.6	
1074														0.25	0.132	0.15	0.11	0.04	0.027	0.048	
1075														0.125	0.07	0.09	0.01	0.015			
1076														0.25	0.35	0.5	0.25	0.31	0.465	0.465	
1077														0.12	0.065	0.07	0.07	0.07	0.08	0.065	
1078														0.11	0.095	0.09	0.086	0.078	0.5	0.055	
1079														0.18	0.13	0.06	0.3	0.3	0.4		
1080													0.15	0.2	0.3	0.15	0.1	0.05	0.059656		
1081														0.2	0.07	0.07	0.075	0.075	0.09	0.07	
1082														0.22	0.3	0.3	0.05	0.05	0.1	0.15	
1083														0.16		0		0.05			
1084														0.05	0.025	0.025	0.025	0.025	0.03	0.05	
1085														0.17	0.15	0.08	0.06	0.07	0.07	0.02	
1086														0.5	0.25	0.3	0.15	0.15	0.15	0.15	
1087														0.5	0.25	0.1	0.2	0.15	0.03	0.25	
1088														0.3	0.3	0.3			0.1		
1089														0.3	0.3	0.2	0.3	0.3	0.5	0.7	
1090														0.05	0.025	0.015	0.008	0.027	0.01	0.007	
1091														0.3	0.08	0.05	0.15	0.03	0.01		
1092														0.35	0.2	0.1					
1093														0.5	0.107	0.34722	0.011	0.012	0.004		
1094														0.225	0.267	0.216	0.116	0.01	0.07	0.082	
1095														0.3	0.2	0.15	0.1	0.1	0.35	0.05	
1096														0.217	0.052	0.016		0.019	0.021	0.053	
1097														0.1	0.12	0.12	0.07	0.07	0.08	0.14	
1098														0.5	0.05	0.1		0.25			
1099														0.98	1	0.66	0.45		0.176873		
1100														0.28	0.1	0.1		0		0.05	
1101														0.08	0.08	0.1	0.1	0.1			
1102															0.2	0.25	0.3	0.35	0.3	0.35	
1103															0.8	0.35	0.5	0.4	0.25	0.25	
1104															0.2	0.2	0.05	0.025	0.028	0.023	
1105															0.1	0.15		0.03	0.02		
1106															0.15	0.12	0.18	0.2	0.18	0.1	
1107															0.28	0.18	0.049	0.15			
1108															0.3	0.15	0.15	0.07	0.11	0.008273	
1109															0.5	0.6	0.4	0.8	1.1	0.88	
1110															0.234	0.061	0.353	0.691	0.69	0.05	
1111															0.06	0.06					
1112															0.128	0.1	0.05	0.05	0.1		
1113																0.075	0.034	0.125	0.174996	0.08	
1114															0.37	0.5	0.5	0.5	0.4	0.3	
1115															0.119	0.071	0.123835	0.046	0.049		
1116															0.1	0.1	0.04	0.042	0.035		
1117															0.08	0.06	0.09	0.13	0.1	0.2	
1118															0.4	0.2	0.05				
1119																0.171	0.035	0.055	0.1	0.1	
1120															0.4	0.4	0.15	0.1	0	0.1	
1121																0.15	0.08	0.16	0.05	0.047	
1122																0.6	0.5	0.2	0.3	0.3	
1123																0.15	0.065	0.075	0.5	0.65	
1124																0.2	0.1	0.1	0.1	0.07	
1125																0.132	0.1	0.025	0.035	0.05	
1126																0.06	0.08	0.08	0.05	0.05	
1127																0.2	0.25	0.15	0.6	0.1	
1128																0.22	0.15	0.15	0.05	0.15	
1129																0.3	0.3	0.35	0.5	0.35	
1130																0.082	0.082	0.12	0.092	0.235	
1131																0.35	0.3	0.3	1	1	
1132																0.15	0.1	0.1	0.05	0.05	
1133																0.8	0.2	0.2	0.2		
1134																0.15	0.11	0.03	0.02	0.01	
1135																		0.05	0.1	0.085	
1136																0.2	0.25	0.15	0.07	0.1	
1137																0.06	0.053	0.030325	0.042	0.05	
1138																0.2	0.12	0.17	0.247	0.13	
1139																	0.1	0.2	0.4	0.5	
1140																0.1	0.4	0.2	0.072	0.072	
1141																0.15	0.08	0.15	0.2	0.1	
1142																0.8	1	3	2	0.23	
1143																0.75	0.1	0.15	0.03		
1144																0.1	0.06	0.025	0.07	0.02	
1145																	0.1	0.05	0.05	0.025	
1146																	0.18	0.081	0.161	0.25	
1147																0.075	0.035	0.012	0.035	0.12	
1148																	0.2	0.13	1	1	
1149																	0.1	0.1	0.3	0.500119	
1150																	0.3	0.11	0.08	0.08	
1151																0.11	0.12	0.03	0.05		
1152																	0.125	0.04			
1153																	0.042	0.023	0.026	0.02	
1154																0.25	0.16	0.1	0.15	0.09	
1155																	0.3	0.4	0.3	0.45	
1156																	0.25	0.1	0.05		
1157																	0.108	0.1	0.025		
1158																	0.1	0.08	0.056	0.031	
1159																	0.2	0.1	0.13	0.12	
1160																	0.209916	0.1	0.033	0.047	
1161																	0.054	0.024	0.018	0.019	
1162																	0.3	0.3	0.15	0.075	
1163																	0.10513	0.1	0.100004	0.1	
1164																	0.2	0.15	0.28	0.28	
1165																			0.067	0.042	
1166																	0.2	0.1	0.1	0.2	
1167																	0.18	0.07	0.10085	0.1	
1168																	0.5	0.5	0.25	0.25	
1169																	0.08	0.08	0.07	0.045	
1170																	0.115	0.055	0.036	0.018	
1171																	0.099288	0.060007		0.02	
1172																	0.058	0.049	0.067	0.075	
1173																	0.1	0.1	0.2	0.1	
1174																	0.5	0.8	0.2	0.2	
1175																	0.011	0.012		0.006	
1176																	0.1	0.017	0.017	0.021	
1177																	0.5	0.5	0.2	0.05	
1178																	0.2	0.2	0.2	0.2	
1179																	0.101	0.106	0.138	0.068	
1180																	0.3	0.4	0.5	0.3	
1181																	0.15	0.25	0.1	0.1	
1182																	0.4	0.2	0.05	0.04	
1183																		0.6	0.1	0.3	
1184																		0.5	0.25	0.5	
1185																		0.3	0.2	0.2	
1186																	0.3	0.3	0.2	0.3	
1187																		0.2		0.035	
1188																		0.1	0.12	0.016	
1189																		0.3	0.5	0.3	
1190																		0.15	0.351102	1	
1191																		0.12	0.13	0.44296	
1192																		0.055	0.07	0.033	
1193																		0.1	0.08	0.08	
1194																		0.1	0.05	0.05	
1195																		0.3	0.2	0.2	
1196																		0.05	0	0.2	
1197																		0.2	0.2	0.2	
1198																		0.735874	1.1	0.379	
1199																		0.25	0.059	0.03	
1200																		0.45	0.54	0.34	
1201																		0.05	0.026	0.01	
1202																		0.13	0.11	0.085	
1203																		0.5	0.6	0.5	
1204																		0.1	0.04	0.04	
1205																		0.25	0.3	0.2	
1206																		0.5	0.35	0.4	
1207																		0.2	0.05	0.03	
1208																		0.273377	0.157841	0.257449	
1209																		0.167	0.067	0.021008	
1210																		0.2	0.1	0.1	
1211																		0.06	0.06	0.03	
1212																		0.3	0.4	0.4	
1213																		0.125	0.11	0.06	
1214																		0.2	0.02		
1215																		0.25	0.12	0.16	
1216																		0.5	0.6	0.6	
1217																		0.2	1	0.5	
1218																		0.16	0.24	0.3	
1219																		0.15	0.03	0.003	
1220																		0.2	0.25	0.5	
1221																		0.292355	0.06	0.15	
1222																		0.25	0.16	0.1	
1223																		0.105	0.127		
1224																		0.42	0.6	0.541	
1225																		0.1	0.2	0.1	
1226																		0.15	0.15	1	
1227																		0.1	0.08	0.05	
1228																			0.05	0.05	
1229																		0.2	0.2	0.2	
1230																		0.06			
1231																		0.11	0.12	0.05	
1232																		0.5	0.3	0.2	
1233																			0.15	0.13	
1234																			0.23	0.408969	
1235																			0.16	0.2	
1236																			0.05	0.025	
1237																			0.15		
1238																		0.2	0.06	0.04	
1239																			0.2	0.030082	
1240																			0.16	0.22	
1241																			0.3	0.15	
1242																		0.5	0.3	0.2	
1243																			0.06	0.1	
1244																			0.09	0.018	
1245																			0.1	0.1	
1246																		0.05	0.18	0.15	
1247																		0.055	0.12	0.088689	
1248																		0.6	0.6	0.65	
