id	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
37	16.95	15.74	25.46	16.75	11.19	11.79	8.63	5.95	8.6	14.09	3.07	6.65	14.96	6.22	7.91	11.29	19.16	21.21	18.82	19.71	9.81
38	18.17	14.03	20.17	13.41	9.5	7.09	8.42	5.29	4.81	8.41	4.01	9.72	9.94	3.9	4.4	5.64	10.15	14.38	13.63	6.06	4
39	7.18	7.44	12.87	9.12	8.89	5.35	5.36	3.91	3.65	13.95	5.91	10.09	11.59	13.98	14.16	19.6	13.89	33.83	13.25	13.27	4.73
40	10.94	20.95	13.12	8.1	8.05	6.75	5.48	3.31	2.98	8.64	2.01	6.72	5.17	5.51	4.07	4.86	6.84	11.85	11.03	7.4	5.95
41	5.53	4.82	7.33	5.37	5.04	4.32	5.12	3.33	3.67	12.55	5.09	11.62	11.59	7.6	6.81	4.99	9.85	8.01	11.9	9.53	5.94
42	17	8.85	9.48	6.85	5.72	7.25	6.06	6.18	17.33	44.44	7.8	27.9	22.5	8.23	9.05	6.28	9.49	14.03	11.15	11.17	3.96
43	17.5	16.04	18.06	13.16	15.1	6.44	3.72	4.3	12.75	28.88	15.9	13.88	17.61	11.15	5.7	8.42	13.1	17.69	12.37	7.66	4.85
44	27.79	19.89	18.52	11.44	8.37	7.96	6.24	4.45	8.1	15.96	4.14	10.17	8.49	5.8	6.03	11.85	15.17	36.6	28.41	23.49	16.66
45	30.81	28.71	38.07	23.46	12.85	18.7	26.69	27.78	39.1	63.69	27.2	44.87	27.3	16.9	9.75	13.07	18.06	18.63	15.95	36.36	19.59
46	19.43	13.22	21.22	19.07	8.44	8.99	5.4	5.4	4.65	20.46	6.01	28.17	19.17	12.47	9.61	13.41	18.13	30.53	27.1	18.2	7.68
47	22.91	25	21.56	13.7	9.2	8.37	8.89	8.05	5.47	12.22	3.31	16.1	9.65	4.97	3.34	3.79	5.73	21.54	12.44	7.29	4.74
48	4.22	4.99	10.57	6.95	7.36	8.49	8.48	3.5	4.59	10.3	2.32	8.02	6	6.81	4.62	5.51	8.74	12.67	8.32	5.05	4.25
49	9.3	8.3	15.37	12.93	13.32	6.16	6.8	12.88	22.01	50.25	8.18	17.17	12.15	7.14	7.5	5.3	8.25	8.8	6.95	8.49	6.35
50			26.63	15.99	10.08	6.44	5.88	4.06	3.85	10.5	3.96	9.8	11.13	7.03	6.62	10.18	11.01	32.09	25.29	9.34	7.1
51	25.42	18.34	22.05	14.77	7.53	5.96	4.57	3.29	3.44	9.02	3.11	16.99	11.93	6.44	5.82	7.55	9.77	23.96	6.3	5.9	2.98
52	6.98	8.02	14.16	14.72	14.77	23.84	12.17	9.87	9.17	16.98	4.76	8.31	6.13	5.03	4.05	6.05	9.88	8.62	7.13	7.67	5
53	9.76	15.58	18.29	15.31	8.25	9.28	8.5	6.42	6.4	12.72	5.3	7.51	5.53	4.15	3.85	4.33	5.8	8.16	8	8.7	7.79
54		16.55	23.98	15.5	10.07	8.01	5.87	4.12	13.31	21.16	4.25	11.95	11.87	6.85	7.59	6.72	13.8	17.02	9.66	10.04	4.6
55			13.99	13.48	12.01	7.03	5.59	4.3	4	11.66	3.7	7.78	6.6	4.18	3.84	5.3	7.92	17.14	14.8	13.22	9.25
56			24.31	15.63	10.07	8.8	4.86	4.14	4.07	10.62	3.38	7.78	11.26	7.25	7.68	8.47	13.75	14.78	11.71	9.02	5.64
57							3.61	2.34	2.36	5.84	2.62	5.13	3.43	1.84	2.19	2.33	3.8	4.26	3.3	3.9	2.45
58			25.12	6.95	5.81	4.47	2.84	1.96	4.88	10.58	2.9	7.93	5.13	3.3	4.84	5.43	17.42	38.1	30.87	30.58	14.73
